City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hours),Snow inches (last 3 hours)
71,Lompoc,US,2021-10-06 20:20:50,34.6391,-120.4579,79.7,63,1,0.0,clear sky,0,0
72,Tasiilaq,GL,2021-10-06 20:20:50,65.6145,-37.6368,33.96,64,0,5.14,clear sky,0,0
73,Balykshi,KZ,2021-10-06 20:20:51,47.0667,51.8667,33.8,44,0,8.95,clear sky,0,0
74,Cape Town,ZA,2021-10-06 20:20:51,-33.9258,18.4232,65.88,56,0,4.0,clear sky,0,0
75,Pedernales,DO,2021-10-06 20:20:51,18.0384,-71.744,88.29,57,99,6.96,overcast clouds,0,0
76,Longyearbyen,SJ,2021-10-06 20:20:52,78.2186,15.6401,35.44,69,75,12.66,light rain,0,0
77,Bafilo,TG,2021-10-06 20:20:52,9.35,1.2667,73.06,83,9,4.5,clear sky,0,0
78,Hilo,US,2021-10-06 20:17:52,19.7297,-155.09,83.28,78,40,11.5,moderate rain,0,0
79,Norman Wells,CA,2021-10-06 20:20:53,65.282,-126.8329,30.24,86,20,9.22,few clouds,0,0
80,Shingu,JP,2021-10-06 20:20:53,33.7333,135.9833,69.85,88,59,6.2,broken clouds,0,0
81,Castro,BR,2021-10-06 20:20:54,-24.7911,-50.0119,73.0,81,95,4.54,overcast clouds,0,0
82,Lugovoy,KZ,2021-10-06 20:20:54,42.9472,72.7644,37.15,92,100,5.39,moderate rain,0,0
83,Bairiki,KI,2021-10-06 20:20:54,1.3292,172.9752,82.4,69,40,11.5,scattered clouds,0,0
84,Atuona,PF,2021-10-06 20:20:54,-9.8,-139.0333,78.42,79,14,22.66,few clouds,0,0
85,Tinsukia,IN,2021-10-06 20:20:55,27.5,95.3667,71.98,92,0,1.92,clear sky,0,0
86,Klaksvik,FO,2021-10-06 20:20:55,62.2266,-6.589,45.52,77,100,16.31,overcast clouds,0,0
87,Nanortalik,GL,2021-10-06 20:20:55,60.1432,-45.2371,39.99,63,96,3.4,overcast clouds,0,0
88,Wanning,CN,2021-10-06 20:20:56,18.8003,110.3967,80.17,90,100,17.67,moderate rain,0,0
89,Broome,US,2021-10-06 20:20:57,42.2506,-75.833,74.17,67,75,1.01,broken clouds,0,0
